70,A Wing & A Prayer Perfumes,Sarah A Wing & A Prayer Perfumes for women,vanilla,130,powdery,40,sweet,27,soft spicy,1,woody,1,,,1,1,1,1,1,1,1,1,
71,A Wing & A Prayer Perfumes,Shalott Rose A Wing & A Prayer Perfumes for women,balsamic,130,amber,106,powdery,93,woody,90,citrus,82,,,1,100,1,1,1,1,1,1,
72,A Wing & A Prayer Perfumes,Tallulah B A Wing & A Prayer Perfumes for women,white floral,130,citrus,128,woody,110,floral,73,warm spicy,70,,,1,1,1,1,1,1,1,1,
74,A.B.R. Barlach,Bond. James Bond Le Parfum A.B.R. Barlach for women,musky,130,floral,111,vanilla,93,citrus,37,powdery,28,,,1,33,1,66,33,66,66,33,
75,A.P. Durand Parfums,Infidele A.P. Durand Parfums for women,citrus,130,sweet,125,woody,125,floral,119,powdery,109,,,1,1,1,1,1,1,1,1,
76,A.P. Durand Parfums,Magic Life A.P. Durand Parfums for women,white floral,130,sweet,65,rose,63,tuberose,61,fruity,57,vanilla,53,1,1,1,1,1,1,1,1,
77,A.P. Durand Parfums,Prestige Flower A.P. Durand Parfums for women,sweet,130,fruity,104,woody,104,powdery,87,citrus,81,,,50,100,1,1,100,100,1,100,
78,A.P. Durand Parfums,Prestige Honey A.P. Durand Parfums for women,citrus,130,white floral,118,woody,96,musky,95,amber,95,fruity,93,75,25,25,75,75,50,75,50,
79,A.P. Durand Parfums,Prestige Lady A.P. Durand Parfums for women,white floral,130,sweet,99,honey,79,vanilla,71,citrus,65,,,33,1,1,66,100,66,100,100,
80,A.P. Durand Parfums,Promis Jure A.P. Durand Parfums for women,floral,130,green,68,powdery,59,citrus,53,white floral,51,woody,47,25,1,50,75,100,50,75,75,
81,A.P. Durand Parfums,Rupture A.P. Durand Parfums for men,citrus,130,fresh spicy,117,green,65,warm spicy,61,woody,48,leather,44,1,1,1,1,1,1,1,1,
82,A.P. Durand Parfums,Rupture Women A.P. Durand Parfums for women,sweet,130,fruity,108,citrus,76,rose,76,vanilla,76,musky,73,1,100,1,1,1,1,1,1,
83,A.P. Durand Parfums,What Else Men A.P. Durand Parfums for men,fresh spicy,130,citrus,126,woody,125,aromatic,124,green,83,,,25,1,50,50,100,50,75,75,
84,A.P. Durand Parfums,What Else Women A.P. Durand Parfums for women,fruity,130,citrus,91,rose,70,sweet,51,floral,39,powdery,39,100,50,1,1,50,50,50,50,
85,Abahna,Frangipani & Orange Blossom Abahna for women,white floral,130,citrus,48,sweet,22,soapy,16,fruity,8,,,100,25,1,25,50,50,25,50,
86,Abahna,Lilac Rose & Geranium Abahna for women,floral,130,rose,110,fresh spicy,100,aromatic,80,fresh,51,,,100,100,1,1,100,100,100,100,
87,Abahna,Mandarin & Sicilian Bergamot Abahna for women,citrus,130,fresh spicy,33,aromatic,20,fruity,13,green,13,,,75,50,1,25,50,100,50,50,
88,Abahna,Vetiver & Cedarwood Abahna for women and men,woody,130,aromatic,46,green,39,earthy,36,powdery,7,,,1,100,1,1,100,1,100,1,
89,Abahna,White Grapefruit & May Chang Abahna for women,citrus,130,fresh,36,fresh spicy,29,green,15,sweet,15,,,50,50,1,50,50,100,50,50,
90,Abbott New York City,Mojave Abbott New York City for women and men,fresh spicy,130,tobacco,56,warm spicy,31,sweet,22,leather,14,,,50,75,25,75,75,50,100,50,
1,Radioactive Mushrooms in the Forest,Costa Radioactive Mushrooms in the Forest for women and men,white floral,130,citrus,54,aromatic,24,green,24,sweet,21,,,1,1,1,1,1,1,1,1,
2,Radioactive Mushrooms in the Forest,Gypsy Radioactive Mushrooms in the Forest for women and men,vanilla,130,rose,130,woody,130,powdery,53,sweet,27,,,1,1,1,1,1,1,1,1,
3,Radioactive Mushrooms in the Forest,Lolita Radioactive Mushrooms in the Forest for women and men,rose,130,aromatic,130,cacao,130,fresh spicy,104,floral,91,,,1,1,1,1,1,1,1,1,
4,Radioactive Mushrooms in the Forest,Maya Radioactive Mushrooms in the Forest for women and men,aromatic,130,fresh spicy,112,white floral,52,herbal,47,balsamic,32,,,1,1,1,1,1,1,1,1,
5,Radioactive Mushrooms in the Forest,Mermaid Radioactive Mushrooms in the Forest for women and men,citrus,130,fresh spicy,104,aromatic,100,floral,70,fresh,44,white floral,44,1,1,1,1,1,1,1,1,
6,Radioactive Mushrooms in the Forest,Mornings Radioactive Mushrooms in the Forest for women and men,coffee,130,herbal,104,warm spicy,79,floral,53,aromatic,40,,,1,1,1,1,1,1,1,1,
7,Radioactive Mushrooms in the Forest,Toshi Radioactive Mushrooms in the Forest for women and men,aromatic,130,fresh spicy,87,green,68,herbal,65,citrus,62,,,1,1,1,1,1,1,1,1,
8,Radley,Radley Eau de Parfum Radley for women,white floral,130,balsamic,127,smoky,101,woody,85,sweet,85,musky,85,33,66,1,100,66,1,66,66,
9,Rag & Bone,Amber Rag & Bone for women and men,amber,130,animalic,53,balsamic,27,powdery,21,marine,14,,,100,50,100,50,1,1,50,50,
10,Rag & Bone,Bergamot Rag & Bone for women and men,citrus,130,fresh spicy,65,aromatic,39,floral,20,green,13,powdery,13,100,33,33,1,66,66,1,33,
11,Rag & Bone,Cypress Rag & Bone for women and men,woody,130,aromatic,101,fresh spicy,59,green,16,,,,,50,1,1,1,50,50,1,100,
12,Rag & Bone,Encens Rag & Bone for women and men,balsamic,130,smoky,104,warm spicy,53,woody,1,,,,,66,100,1,1,66,1,66,66,
13,Rag & Bone,Neroli Rag & Bone for women and men,white floral,130,citrus,130,narcotic,105,fresh,79,floral,54,fresh spicy,54,50,100,100,1,1,1,1,1,
15,Rag & Bone,Oud Rag & Bone for women and men,oud,130,fresh spicy,27,balsamic,1,woody,1,,,,,50,1,100,1,1,1,1,1,
16,Rag & Bone,Rose Rag & Bone for women and men,rose,130,floral,13,citrus,7,,,,,,,1,100,50,1,1,1,1,50,
17,Rallet,47 Vyatskaya St Rallet for women,floral,130,woody,106,patchouli,106,fruity,103,warm spicy,86,white floral,84,1,100,50,100,100,50,100,100,
